timestamp,attr_day,attr_month,attr_hour,attr_minute,attr_weekday,attr_weekend,attr_day_of_year,rush_hour,attr_daylight,attr_business_hours,attr_night_hours,attr_attr_relative_humidity_0h_before,attr_attr_relative_humidity_1h_before,attr_attr_relative_humidity_2h_before,attr_attr_relative_humidity_3h_before,attr_attr_surface_pressure_0h_before,attr_attr_surface_pressure_1h_before,attr_attr_surface_pressure_2h_before,attr_attr_surface_pressure_3h_before,attr_attr_shortwave_radiation_0h_before,attr_attr_shortwave_radiation_1h_before,attr_attr_shortwave_radiation_2h_before,attr_attr_shortwave_radiation_3h_before,attr_attr_windspeed_0h_before,attr_attr_windspeed_1h_before,attr_attr_windspeed_2h_before,attr_attr_windspeed_3h_before
2022-08-02 13:04:00,2,8,13,4,1,0,214,0,1,1,0,51.0,53.0,54.0,56.0,981.9,982.0,982.0,982.4,748.0,749.0,610.0,609.0,9.2,8.9,8.5,8.9
2022-08-02 13:10:00,2,8,13,10,1,0,214,0,1,1,0,51.0,53.0,54.0,56.0,981.9,982.0,982.0,982.4,748.0,749.0,610.0,609.0,9.2,8.9,8.5,8.9
2022-08-02 13:14:00,2,8,13,14,1,0,214,0,1,1,0,51.0,53.0,54.0,56.0,981.9,982.0,982.0,982.4,748.0,749.0,610.0,609.0,9.2,8.9,8.5,8.9
2022-08-02 13:20:00,2,8,13,20,1,0,214,0,1,1,0,51.0,53.0,54.0,56.0,981.9,982.0,982.0,982.4,748.0,749.0,610.0,609.0,9.2,8.9,8.5,8.9
2022-08-02 13:25:00,2,8,13,25,1,0,214,0,1,1,0,51.0,53.0,54.0,56.0,981.9,982.0,982.0,982.4,748.0,749.0,610.0,609.0,9.2,8.9,8.5,8.9
2022-08-02 13:30:00,2,8,13,30,1,0,214,0,1,1,0,51.0,53.0,54.0,56.0,981.9,982.0,982.0,982.4,748.0,749.0,610.0,609.0,9.2,8.9,8.5,8.9
2022-08-02 13:35:00,2,8,13,35,1,0,214,0,1,1,0,51.0,53.0,54.0,56.0,981.9,982.0,982.0,982.4,748.0,749.0,610.0,609.0,9.2,8.9,8.5,8.9
2022-08-02 13:40:00,2,8,13,40,1,0,214,0,1,1,0,51.0,53.0,54.0,56.0,981.9,982.0,982.0,982.4,748.0,749.0,610.0,609.0,9.2,8.9,8.5,8.9
2022-08-02 13:44:00,2,8,13,44,1,0,214,0,1,1,0,51.0,53.0,54.0,56.0,981.9,982.0,982.0,982.4,748.0,749.0,610.0,609.0,9.2,8.9,8.5,8.9
2022-08-02 13:50:00,2,8,13,50,1,0,214,0,1,1,0,51.0,53.0,54.0,56.0,981.9,982.0,982.0,982.4,748.0,749.0,610.0,609.0,9.2,8.9,8.5,8.9
2022-08-02 13:55:00,2,8,13,55,1,0,214,0,1,1,0,51.0,53.0,54.0,56.0,981.9,982.0,982.0,982.4,748.0,749.0,610.0,609.0,9.2,8.9,8.5,8.9
2022-08-02 14:00:00,2,8,14,0,1,0,214,0,1,1,0,51.0,51.0,53.0,54.0,981.5,981.9,982.0,982.0,567.0,748.0,749.0,610.0,7.4,9.2,8.9,8.5
2022-08-02 14:05:00,2,8,14,5,1,0,214,0,1,1,0,51.0,51.0,53.0,54.0,981.5,981.9,982.0,982.0,567.0,748.0,749.0,610.0,7.4,9.2,8.9,8.5
2022-08-02 14:10:00,2,8,14,10,1,0,214,0,1,1,0,51.0,51.0,53.0,54.0,981.5,981.9,982.0,982.0,567.0,748.0,749.0,610.0,7.4,9.2,8.9,8.5
2022-08-02 14:15:00,2,8,14,15,1,0,214,0,1,1,0,51.0,51.0,53.0,54.0,981.5,981.9,982.0,982.0,567.0,748.0,749.0,610.0,7.4,9.2,8.9,8.5
2022-08-02 14:20:00,2,8,14,20,1,0,214,0,1,1,0,51.0,51.0,53.0,54.0,981.5,981.9,982.0,982.0,567.0,748.0,749.0,610.0,7.4,9.2,8.9,8.5
2022-08-02 14:25:00,2,8,14,25,1,0,214,0,1,1,0,51.0,51.0,53.0,54.0,981.5,981.9,982.0,982.0,567.0,748.0,749.0,610.0,7.4,9.2,8.9,8.5
2022-08-02 14:30:00,2,8,14,30,1,0,214,0,1,1,0,51.0,51.0,53.0,54.0,981.5,981.9,982.0,982.0,567.0,748.0,749.0,610.0,7.4,9.2,8.9,8.5
