timestamp,PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,POGAČARJEV TRG-TRŽNICA,KONGRESNI TRG-ŠUBIČEVA ULICA,CANKARJEVA UL.-NAMA,BREG,GRUDNOVO NABREŽJE-KARLOVŠKA C.,MIKLOŠIČEV PARK,BAVARSKI DVOR,TRG OF-KOLODVORSKA UL.,MASARYKOVA DDC,VILHARJEVA CESTA,PARK NAVJE-ŽELEZNA CESTA,TRG MDB,PARKIRIŠČE NUK 2-FF,AMBROŽEV TRG,GH ŠENTPETER-NJEGOŠEVA C.,ILIRSKA ULICA,TRŽAŠKA C.-ILIRIJA,TIVOLI,STARA CERKEV,KINO ŠIŠKA,ŠPICA,BARJANSKA C.-CENTER STAREJŠIH TRNOVO,ZALOŠKA C.-GRABLOVIČEVA C.,TRŽNICA MOSTE,ROŽNA DOLINA-ŠKRABČEVA UL.,DUNAJSKA C.-PS PETROL,PLEČNIKOV STADION,DUNAJSKA C.-PS MERCATOR,LIDL - VOJKOVA CESTA,ŠPORTNI CENTER STOŽICE,KOPRSKA ULICA,MERCATOR CENTER ŠIŠKA,CITYPARK,BTC CITY/DVORANA A,BTC CITY ATLANTIS,TRNOVO,P+R BARJE,P + R DOLGI MOST,BONIFACIJA,ANTONOV TRG,BRATOVŠEVA PLOŠČAD,BS4-STOŽICE,SAVSKO NASELJE 2-LINHARTOVA CESTA,SAVSKO NASELJE 1-ŠMARTINSKA CESTA,SITULA,ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,HOFER-KAJUHOVA,BRODARJEV TRG,PREGLOV TRG,LIDL-LITIJSKA CESTA,ŽIVALSKI VRT,CESTA NA ROŽNIK,ŠMARTINSKI PARK,POLJANSKA-POTOČNIKOVA,SREDNJA FRIZERSKA ŠOLA,POVŠETOVA-GRABLOVIČEVA,TRŽNICA KOSEZE,LIDL BEŽIGRAD,MERCATOR MARKET - CELOVŠKA C. 163,RAKOVNIK,ALEJA - CELOVŠKA CESTA,IKEA,KOPALIŠČE KOLEZIJA,VIŠKO POLJE,KOSEŠKI BAJER,DRAVLJE,ČRNUČE,STUDENEC,POLJE,ZALOG,LIDL - RUDNIK,PRUŠNIKOVA,POVŠETOVA - KAJUHOVA,SOSESKA NOVO BRDO,TEHNOLOŠKI PARK,VOJKOVA - GASILSKA BRIGADA,GERBIČEVA - ŠPORTNI PARK SVOBODA,DOLENJSKA C. - STRELIŠČE,ROŠKA - STRELIŠKA,LEK - VEROVŠKOVA,VOKA - SLOVENČEVA,SUPERNOVA LJUBLJANA - RUDNIK
2022-08-04 23:24:00,10.357924,12.697726,6.5680084,1.4168997,7.4285336,8.774967,5.612669,3.9448614,5.972703,0.79676366,8.626891,2.1655884,1.5707532,-0.75909245,12.294415,2.043159,5.5209107,0.6871747,8.972559,8.56178,15.4956045,9.116312,9.089165,3.5854568,6.9381247,13.860075,0.5373882,1.9309192,4.415294,17.180717,20.411701,-0.058286965,4.535629,2.729762,-0.4774977,10.125148,3.4469624,9.903271,8.321901,7.0010114,7.368957,18.49245,8.827406,6.4786816,8.486801,0.7918083,16.707464,9.011929,12.356567,14.568823,14.037413,5.8513436,12.39487,5.841113,6.5744743,4.308008,8.300741,6.7185335,1.260977,14.960682,13.495488,2.7043371,2.0887136,1.6058258,5.9254417,8.273445,1.4300425,10.470555,14.510264,11.537765,12.253609,4.3461604,5.3435726,7.177841,-0.17538977,-1.2538072,2.1110437,6.2952147,1.6105031,2.8021674,-2.3465059,-0.31958222,8.188087
2022-08-05 00:24:00,9.51839,11.298525,6.6703367,1.7951133,6.2307205,8.465534,4.386593,2.893774,7.0034018,2.5098913,8.190952,1.6116221,1.093766,-1.0486234,9.352092,1.2453158,4.854451,0.61064947,9.231229,7.333983,15.483686,9.401453,8.169603,4.3443046,6.137038,12.917527,-0.11711943,-0.09304285,3.5760033,15.43068,20.48297,0.25777155,5.017273,2.8527367,-0.18873918,8.913513,2.973579,10.145858,8.330452,6.879397,6.069884,17.193651,6.4659104,6.8964252,8.410156,0.23234004,16.059795,8.137029,11.312407,13.11911,13.375043,5.1478,11.552474,6.016918,5.3380976,4.59197,9.0543585,5.8182898,0.41815355,13.664003,12.953694,1.9403617,1.5865537,0.917097,5.3606744,8.85957,1.9234791,9.361146,13.600156,11.549037,11.487059,3.329935,5.099783,6.8310804,0.8616698,-0.8814014,1.8027837,7.3342857,1.1327149,2.1778252,-2.9805188,-0.53667456,7.852362
2022-08-08 04:58:00,0.40236527,-1.2031195,-1.5959361,-0.13259435,-1.1608635,1.776619,-1.219033,-1.051758,-0.34303707,-0.010782957,2.706625,0.451386,-2.6862216,-1.8499473,5.9937153,2.1608741,1.054687,17.638597,4.658348,0.7076505,16.630323,13.405796,17.42462,8.208439,16.417908,11.872295,-1.3076495,16.278103,16.224453,18.273794,12.423799,3.6385384,8.909282,4.4205227,2.0466805,0.6107285,6.3215904,4.8902187,13.444542,7.1019235,4.036683,5.673959,14.256186,7.474662,1.7166319,2.9544625,18.4744,4.2762485,20.056072,3.977106,17.504208,1.9946108,16.373428,3.568318,4.3244658,1.4283054,14.490969,15.666011,4.0677457,18.42272,10.491271,2.718401,4.088094,7.4632463,4.428763,3.1867824,1.0519171,16.36035,17.033674,10.256785,15.864283,2.0086083,7.8642282,6.787754,12.131306,4.525647,9.873838,17.38992,8.004548,5.680524,0.85988486,8.156801,0.3418652
2022-08-08 05:58:00,0.5494076,-1.1816905,-1.6120646,-0.02641178,-1.1569661,1.823561,-1.230943,-1.0350566,-0.30648392,-0.065464735,2.6681752,0.40534642,-2.7597265,-1.832271,6.0535975,2.2674441,1.196969,17.714819,4.7469587,0.6713167,16.488058,13.620008,17.555365,8.234811,16.59327,11.894126,-1.4597362,16.368229,16.24085,18.368088,12.429269,3.6523342,8.876404,4.4609175,2.0084863,0.6550095,6.4130726,4.8653483,13.416294,7.102033,3.919073,5.588052,14.401133,7.443204,1.5581741,3.0109625,18.554186,4.23368,20.12256,3.8175054,17.619068,1.9756453,16.335152,3.4762383,4.2185144,1.5092382,14.4931555,15.647382,4.27742,18.446976,10.537364,2.701085,4.1375875,7.5067477,4.493043,3.1713588,0.97685075,16.45576,17.082489,10.3191595,15.86256,2.074126,7.8920965,6.8245687,12.202307,4.53936,9.842373,17.422712,8.098242,5.676059,0.9743587,8.194177,0.37937215
2022-08-11 21:13:00,6.6967726,5.479496,1.2870226,12.015619,18.307865,8.919785,0.8486805,3.173502,1.0825152,1.5908948,2.5864294,1.474839,3.9765568,3.5338745,4.904212,4.1502733,1.3875606,8.549027,7.3455367,5.971589,3.4509447,12.084406,4.7328997,0.65838253,5.1256347,7.2218137,-0.81107914,1.5558243,1.8019285,10.278217,10.13,1.6975245,0.57326406,3.994034,6.9651723,1.4024745,7.291333,8.148887,6.253175,1.223975,7.4288516,6.7455225,14.008535,7.471463,5.1054516,6.475157,14.241273,7.2381997,9.162144,12.123711,13.054644,1.4707651,3.577084,2.3548083,2.758402,3.680659,6.9953885,7.9353304,2.9540253,2.6024387,8.28941,5.608098,0.9036273,2.9494386,12.118332,5.5554953,1.4255748,8.759264,7.4415503,9.96364,10.540827,2.4166884,5.763663,9.040177,8.778883,2.1589522,5.0897775,10.125879,6.862197,1.0256647,2.2208652,3.1871362,3.018802
2022-08-11 22:13:00,6.4715376,5.7259226,-0.01432395,10.3512535,17.668001,8.084872,1.0083103,3.1878586,0.98249286,1.2015121,2.7427545,1.8716636,3.6206064,3.3267407,5.785515,4.318836,1.6786344,9.13048,7.4114504,6.3794475,2.929743,11.59085,3.795246,0.5678226,4.6592083,7.362894,-0.77457345,1.6367745,2.358858,10.284523,9.50329,1.6571064,0.5812835,3.349929,6.5018535,1.7676096,7.319146,7.6980424,6.4258933,1.4384391,7.33918,7.2579412,14.827357,7.6412687,5.5117364,6.794074,14.103716,6.375694,9.579761,12.0924835,13.218672,1.6345382,3.304338,2.229659,2.9366977,3.997596,6.759565,7.1632624,3.1132326,3.1941063,7.646126,5.1591563,1.3987387,3.3628879,12.776426,5.557488,1.4611361,8.623779,7.501518,10.06177,10.018934,3.167547,6.305812,9.802523,8.159468,2.122244,5.3027124,9.953903,6.4238615,1.2674503,2.756704,3.3036356,3.3427942
2022-08-16 07:10:00,1.3372966,0.7731817,0.7734821,0.1988194,0.15365398,1.6246643,-0.5796344,-1.7490406,0.45591837,2.3056195,1.1843344,-0.542351,4.2674103,-1.0196816,4.536968,0.014533281,0.57280445,13.641568,-2.681303,2.9419396,10.8168125,6.7820716,4.533734,7.9842505,14.132433,4.8779216,7.0790777,6.714141,11.230329,14.138009,14.590369,4.139764,-0.18156534,11.517527,2.222608,3.806976,11.082945,12.555749,5.5288343,7.328171,13.690418,12.042557,16.40403,3.503239,8.460748,0.0045372844,2.0746634,9.001618,9.617008,11.127653,2.0589795,0.036100507,6.5757484,8.330712,8.314729,13.437208,4.949866,10.388177,4.4033313,16.358215,9.136201,9.715155,6.6654644,0.34890902,7.1887527,19.186224,5.8421335,2.463055,13.51153,8.095946,8.338285,6.365411,10.253623,13.449404,11.025276,9.022735,12.416076,19.02892,3.1125474,13.368085,3.263954,4.0951552,5.359373
2022-08-16 08:10:00,1.0902357,1.1946847,1.9229105,1.1734698,1.4208237,1.5581689,-0.4932933,-1.5303614,-1.676661,2.927211,1.3963066,-0.34787044,5.1435213,-0.48900354,5.1155415,0.2515806,0.10031557,13.612686,-2.991928,2.7058291,9.671511,7.2666173,2.7436688,7.562013,12.707634,4.216194,7.5581026,6.149266,9.062469,12.875115,13.517393,3.753274,-0.9440355,10.959282,2.7305808,3.6025984,11.045534,12.69991,4.3414264,6.763152,13.390869,12.5152855,15.690491,4.3922644,8.028154,0.55919856,0.9811816,8.640901,8.828115,11.167658,2.181974,0.31352246,6.8563204,7.4143486,6.8609858,13.304071,4.4043927,9.309369,4.6815987,14.183335,9.503679,10.057397,5.6077476,-0.059898496,6.772828,19.151192,5.4211473,2.5763621,13.472266,7.42344,8.061565,5.847325,10.461603,12.886105,9.53487,8.968608,11.670721,18.541883,2.1020696,13.759223,3.6141696,4.0003295,4.6634326
2022-08-18 17:30:00,6.797921,3.4733427,3.286756,6.890069,0.25529277,6.5973716,7.179796,9.7598095,19.301834,6.2354026,10.183335,0.45382062,2.8382552,-2.7697392,6.681856,3.5309713,2.6908243,4.443844,4.8845963,6.5704136,12.724729,6.02819,8.709615,-1.1189598,4.2841616,13.64612,2.648203,5.601311,0.867953,8.364842,3.3305476,2.592502,3.7381077,3.947745,6.21858,8.132063,3.1616437,4.9117236,8.293769,2.270211,6.108492,5.6339107,7.341466,7.68027,3.9249697,5.225574,9.79231,10.112976,15.1838,11.197432,0.26687157,1.8925056,4.3716297,4.333281,2.8498623,3.8663638,4.017017,7.028919,0.28898337,3.6491988,7.728837,2.155196,3.0667677,8.17639,3.7842984,1.9533362,7.3508286,7.6480913,8.878172,7.3623,11.241249,3.815652,7.7135186,6.7593975,8.53248,5.251418,3.645292,8.487244,2.779664,0.07628679,1.9579111,0.8922502,4.325884
2022-08-18 18:27:00,6.618369,3.1853554,4.4349566,6.178664,0.36966044,7.029501,6.3249664,8.951875,18.259562,5.8081393,9.244483,0.6487806,1.251946,-3.0103874,4.816415,2.6782012,2.0002534,4.017572,4.4881926,5.6477137,12.945855,5.4334188,8.9894705,-0.6397351,3.5323591,12.485186,1.7194308,4.470044,1.2848485,8.465558,4.9779377,2.9369311,3.8731747,3.6819305,5.916936,8.011776,2.9350507,4.9066124,7.861044,1.9290618,5.1194243,5.970929,6.3182063,7.4638863,4.183794,4.218629,9.863729,9.388999,13.831142,10.227045,1.1033617,1.478673,4.644629,3.8294964,2.737972,3.748952,4.0653296,6.987206,-0.1889058,3.217825,7.2768126,1.7141933,2.8475585,7.7428994,4.0021243,1.304744,8.216509,7.6854315,8.510584,7.5214233,10.981651,3.0633645,6.738614,7.0488043,8.380421,4.77497,4.476357,8.484454,1.6110584,0.004645586,1.1713814,-0.044118047,4.549641
